Department,ATC5,Order_number,Order_name,Strength,Type_of_Medicine,Package_size,Cost,Number_of_Packages,Cost_w1,Number_of_Packages_w1,Cost_w2,Number_of_Packages_w2,Cost_w3,Number_of_Packages_w3,Cost_w4,Number_of_Packages_w4,Cost_w5,Number_of_Packages_w5,Cost_w6,Number_of_Packages_w6,Cost_w7,Number_of_Packages_w7,Cost_w8,Number_of_Packages_w8,Cost_w9,Number_of_Packages_w9,Cost_w10,Number_of_Packages_w10,Cost_w11,Number_of_Packages_w11,Cost_w12,Number_of_Packages_w12,Cost_w13,Number_of_Packages_w13,Cost_w14,Number_of_Packages_w14,Cost_w15,Number_of_Packages_w15,Cost_w16,Number_of_Packages_w16,Cost_w17,Number_of_Packages_w17,Cost_w18,Number_of_Packages_w18,Cost_w19,Number_of_Packages_w19,Cost_w20,Number_of_Packages_w20,Cost_w21,Number_of_Packages_w21,Cost_w22,Number_of_Packages_w22,Cost_w23,Number_of_Packages_w23,Cost_w24,Number_of_Packages_w24,Cost_w25,Number_of_Packages_w25,Cost_w26,Number_of_Packages_w26,Cost_w27,Number_of_Packages_w27,Cost_w28,Number_of_Packages_w28,Cost_w29,Number_of_Packages_w29,Cost_w30,Number_of_Packages_w30,Cost_w31,Number_of_Packages_w31,Cost_w32,Number_of_Packages_w32,Cost_w33,Number_of_Packages_w33,Cost_w34,Number_of_Packages_w34,Cost_w35,Number_of_Packages_w35,Cost_w36,Number_of_Packages_w36,Cost_w37,Number_of_Packages_w37,Cost_w38,Number_of_Packages_w38,Cost_w39,Number_of_Packages_w39,Cost_w40,Number_of_Packages_w40,Cost_w41,Number_of_Packages_w41,Cost_w42,Number_of_Packages_w42,Cost_w43,Number_of_Packages_w43,Cost_w44,Number_of_Packages_w44,Cost_w45,Number_of_Packages_w45,Cost_w46,Number_of_Packages_w46,Cost_w47,Number_of_Packages_w47,Cost_w48,Number_of_Packages_w48,Cost_w49,Number_of_Packages_w49,Cost_w50,Number_of_Packages_w50,Cost_w51,Number_of_Packages_w51,Cost_w52,Number_of_Packages_w52,Portionsize,Quantity,Adm_way,Strength_measure,Key,Units
"AHOC, The Department of Anesthesiology",A03BA01,720286,Atropin,"0,1","inj.væske, opløsning",10 x 1 ml,2547.09,7.0,,,,,,,,,,,,,,,,,,,,,,,1091.61,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.87,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.87,1.0,727.74,2.0,,,,,,,,,,,1.0,10.0,IV,MGM,"['A03BA01', '0,1', 'MGM', 'IV']",70.0
"AHOC, The Department of Anesthesiology",A04AA01,60523,Ondansetron Fresenius Kabi,2,"inj.væske, opløsning",5 x 2 ml,3492.81,438.0,48.0,6.0,64.0,8.0,120.0,15.0,32.0,4.0,56.0,7.0,96.0,12.0,72.0,9.0,32.0,4.0,63.76,8.0,79.7,10.0,63.76,8.0,215.19,27.0,15.94,2.0,,,,,119.55,15.0,31.88,4.0,79.7,10.0,95.64,12.0,31.88,4.0,79.7,10.0,47.82,6.0,143.46,18.0,87.67,11.0,103.61,13.0,,,71.73,9.0,127.52,16.0,,,71.73,9.0,31.88,4.0,39.85,5.0,63.76,8.0,63.76,8.0,47.82,6.0,63.76,8.0,47.82,6.0,79.7,10.0,47.82,6.0,79.7,10.0,39.85,5.0,159.4,20.0,127.52,16.0,31.88,4.0,159.4,20.0,159.4,20.0,,,39.85,5.0,,,,,159.4,20.0,,,2.0,5.0,IV,MGM,"['A04AA01', '2', 'MGM', 'IV']",2190.0
"AHOC, The Department of Anesthesiology",B05BB01,189,Natriumklorid Baxter,9,"inf.væske, opløsning",30 x 100 ml minibag plus,1766.94,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177.96,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,588.98,1.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,30.0,IV,MGM,"['B05BB01', '9', 'MGM', 'IV']",90.0
"AHOC, The Department of Anesthesiology",B05BB01,141388,Natriumklorid Fres.Kabi 9mg/ml,9,"inf.væske, opløsning",20 x 500 ml (Freeflex),2459.75,25.0,,,,,,,,,295.17,3.0,,,,,,,196.78,2.0,,,196.78,2.0,196.78,2.0,,,,,,,,,,,,,196.78,2.0,,,,,,,196.78,2.0,,,,,,,,,196.78,2.0,,,,,,,,,,,,,,,196.78,2.0,,,98.39,1.0,,,,,,,98.39,1.0,196.78,2.0,,,,,,,196.78,2.0,,,,,,,,,196.78,2.0,500.0,20.0,IV,MGM,"['B05BB01', '9', 'MGM', 'IV']",500.0
"AHOC, The Department of Anesthesiology",B05BB01,558643,Natriumklorid isotonisk SAD,9,infusionsvæske,3000 ml x4,462.02,2.0,,,,,462.02,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,4.0,IV,GL,"['B05BB01', '9', 'GL', 'IV']",8.0
"AHOC, The Department of Anesthesiology",B05BB01,740142,Natriumklorid isotonisk SAD,9,infusionsvæske,500 ml,1597.05,91.0,52.65,3.0,,,87.75,5.0,,,52.65,3.0,35.1,2.0,35.1,2.0,,,70.2,4.0,35.1,2.0,,,17.55,1.0,,,,,52.65,3.0,,,105.3,6.0,35.1,2.0,,,,,70.2,4.0,35.1,2.0,17.55,1.0,35.1,2.0,17.55,1.0,,,,,35.1,2.0,17.55,1.0,,,17.55,1.0,17.55,1.0,70.2,4.0,35.1,2.0,87.75,5.0,,,70.2,4.0,105.3,6.0,,,35.1,2.0,17.55,1.0,17.55,1.0,,,52.65,3.0,17.55,1.0,35.1,2.0,70.2,4.0,52.65,3.0,17.55,1.0,17.55,1.0,52.65,3.0,,,500.0,1.0,IV,GL,"['B05BB01', '9', 'GL', 'IV']",91.0
"AHOC, The Department of Anesthesiology",B05BB01,741975,Natriumklorid isotonisk SAD,9,infusionsvæske,100 ml,39004.56,2982.0,994.08,76.0,627.84,48.0,1046.4,80.0,235.44,18.0,1268.76,97.0,850.2,65.0,601.68,46.0,287.76,22.0,1334.16,102.0,1007.16,77.0,392.4,30.0,1373.4,105.0,,,,,1294.92,99.0,379.32,29.0,1543.44,118.0,837.12,64.0,497.04,38.0,915.6,70.0,1308.0,100.0,1085.64,83.0,418.56,32.0,1059.48,81.0,928.68,71.0,693.24,53.0,693.24,53.0,470.88,36.0,640.92,49.0,418.56,32.0,353.16,27.0,444.72,34.0,1268.76,97.0,235.44,18.0,784.8,60.0,981.0,75.0,143.88,11.0,1464.96,112.0,327.0,25.0,1530.36,117.0,771.72,59.0,340.08,26.0,575.52,44.0,1046.4,80.0,575.52,44.0,1098.72,84.0,353.16,27.0,1124.88,86.0,850.2,65.0,274.68,21.0,1085.64,83.0,170.04,13.0,100.0,1.0,IV,GL,"['B05BB01', '9', 'GL', 'IV']",2982.0
"AHOC, The Department of Anesthesiology",C01BD01,106004,Amiodaron Hameln,50,konc.inj.inf.vsk.opl,10 x 3ml,289.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.85,1.0,,,,,,,,,,,,,,,,,,,144.85,1.0,,,,,,,,,,,,,,,,,,,3.0,10.0,IV,MGM,"['C01BD01', '50', 'MGM', 'IV']",20.0
"AHOC, The Department of Anesthesiology",C01CA02,722477,Isoprenalinhydrochlorid,1,konc.t.inf.væsk.opl.,10 x 5 ml,1038.12,2.0,,,,,,,,,,,,,,,,,519.06,1.0,,,,,,,,,,,519.06,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,10.0,IV,MGM,"['C01CA02', '1', 'MGM', 'IV']",20.0
"AHOC, The Department of Anesthesiology",C01CA06,722283,Metaoxedrin,"0,1",injektionsvæske,10 x 20 ml,16478.76,54.0,906.93,3.0,,,305.33,1.0,305.33,1.0,305.33,1.0,610.66,2.0,,,610.66,2.0,,,,,610.66,2.0,610.66,2.0,,,,,915.99,3.0,,,305.33,1.0,610.66,2.0,305.33,1.0,305.33,1.0,,,305.33,1.0,915.99,3.0,,,610.66,2.0,,,305.33,1.0,915.99,3.0,,,,,305.33,1.0,,,,,610.66,2.0,,,,,,,305.33,1.0,305.33,1.0,915.99,3.0,,,610.66,2.0,305.33,1.0,,,915.99,3.0,,,610.66,2.0,610.66,2.0,,,305.33,1.0,,,915.99,3.0,20.0,10.0,IMIVSC,MGM,"['C01CA06', '0,1', 'MGM', 'IMIVSC']",540.0
