Department,ATC5,Order_number,Order_name,Strength,Type_of_Medicine,Package_size,Cost,Number_of_Packages,Cost_w1,Number_of_Packages_w1,Cost_w2,Number_of_Packages_w2,Cost_w3,Number_of_Packages_w3,Cost_w4,Number_of_Packages_w4,Cost_w5,Number_of_Packages_w5,Cost_w6,Number_of_Packages_w6,Cost_w7,Number_of_Packages_w7,Cost_w8,Number_of_Packages_w8,Cost_w9,Number_of_Packages_w9,Cost_w10,Number_of_Packages_w10,Cost_w11,Number_of_Packages_w11,Cost_w12,Number_of_Packages_w12,Cost_w13,Number_of_Packages_w13,Cost_w14,Number_of_Packages_w14,Cost_w15,Number_of_Packages_w15,Cost_w16,Number_of_Packages_w16,Cost_w17,Number_of_Packages_w17,Cost_w18,Number_of_Packages_w18,Cost_w19,Number_of_Packages_w19,Cost_w20,Number_of_Packages_w20,Cost_w21,Number_of_Packages_w21,Cost_w22,Number_of_Packages_w22,Cost_w23,Number_of_Packages_w23,Cost_w24,Number_of_Packages_w24,Cost_w25,Number_of_Packages_w25,Cost_w26,Number_of_Packages_w26,Cost_w27,Number_of_Packages_w27,Cost_w28,Number_of_Packages_w28,Cost_w29,Number_of_Packages_w29,Cost_w30,Number_of_Packages_w30,Cost_w31,Number_of_Packages_w31,Cost_w32,Number_of_Packages_w32,Cost_w33,Number_of_Packages_w33,Cost_w34,Number_of_Packages_w34,Cost_w35,Number_of_Packages_w35,Cost_w36,Number_of_Packages_w36,Cost_w37,Number_of_Packages_w37,Cost_w38,Number_of_Packages_w38,Cost_w39,Number_of_Packages_w39,Cost_w40,Number_of_Packages_w40,Cost_w41,Number_of_Packages_w41,Cost_w42,Number_of_Packages_w42,Cost_w43,Number_of_Packages_w43,Cost_w44,Number_of_Packages_w44,Cost_w45,Number_of_Packages_w45,Cost_w46,Number_of_Packages_w46,Cost_w47,Number_of_Packages_w47,Cost_w48,Number_of_Packages_w48,Cost_w49,Number_of_Packages_w49,Cost_w50,Number_of_Packages_w50,Cost_w51,Number_of_Packages_w51,Cost_w52,Number_of_Packages_w52,Portionsize,Quantity,Adm_way,Strength_measure,Key,Units
"AHOC, The Department of Anesthesiology",A01AB03,705640,Klorhexidin SAiD,"0,1",mundskyllevæske,300 ml,873.0,30.0,,,,,,,,,,,,,,,,,,,145.5,5.0,116.4,4.0,,,,,,,,,,,,,,,,,,,,,145.5,5.0,,,,,,,,,87.3,3.0,,,,,,,,,,,,,,,,,,,,,145.5,5.0,,,,,,,,,87.3,3.0,,,,,,,,,145.5,5.0,,,,,,,,,300.0,1.0,OR,PC,"['A01AB03', '0,1', 'PC', 'OR']",30.0
"AHOC, The Department of Anesthesiology",A03AB02,380781,Glycopyrronium brom Martindale,200,"inj.væske, opløsning",10 x 1 ml,1484.59,6.0,,,,,249.59,1.0,247.0,1.0,,,247.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.0,1.0,,,,,,,,,247.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.0,1.0,,,,,,,,,,,,,,,,,1.0,10.0,IMIV,RGM,"['A03AB02', '200', 'RGM', 'IMIV']",60.0
"AHOC, The Department of Anesthesiology",A03BA01,720286,Atropin,"0,1","inj.væske, opløsning",10 x 1 ml,2547.09,7.0,,,,,,,,,,,,,,,,,,,,,,,1091.61,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.87,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.87,1.0,727.74,2.0,,,,,,,,,,,1.0,10.0,IV,MGM,"['A03BA01', '0,1', 'MGM', 'IV']",70.0
"AHOC, The Department of Anesthesiology",A03BA01,741124,Atropin SAD,1,injektionsvæske,1 ml amp x10,4219.6,44.0,,,191.8,2.0,,,,,,,,,575.4,6.0,287.7,3.0,,,,,,,287.7,3.0,,,,,383.6,4.0,575.4,6.0,,,,,,,,,191.8,2.0,,,,,,,,,,,287.7,3.0,383.6,4.0,,,,,,,,,,,,,,,575.4,6.0,,,,,,,,,,,,,,,,,,,287.7,3.0,,,,,,,,,,,191.8,2.0,1.0,10.0,IVSC,MGM,"['A03BA01', '1', 'MGM', 'IVSC']",440.0
"AHOC, The Department of Anesthesiology",A04AA01,60523,Ondansetron Fresenius Kabi,2,"inj.væske, opløsning",5 x 2 ml,3492.81,438.0,48.0,6.0,64.0,8.0,120.0,15.0,32.0,4.0,56.0,7.0,96.0,12.0,72.0,9.0,32.0,4.0,63.76,8.0,79.7,10.0,63.76,8.0,215.19,27.0,15.94,2.0,,,,,119.55,15.0,31.88,4.0,79.7,10.0,95.64,12.0,31.88,4.0,79.7,10.0,47.82,6.0,143.46,18.0,87.67,11.0,103.61,13.0,,,71.73,9.0,127.52,16.0,,,71.73,9.0,31.88,4.0,39.85,5.0,63.76,8.0,63.76,8.0,47.82,6.0,63.76,8.0,47.82,6.0,79.7,10.0,47.82,6.0,79.7,10.0,39.85,5.0,159.4,20.0,127.52,16.0,31.88,4.0,159.4,20.0,159.4,20.0,,,39.85,5.0,,,,,159.4,20.0,,,2.0,5.0,IV,MGM,"['A04AA01', '2', 'MGM', 'IV']",2190.0
"AHOC, The Department of Anesthesiology",A10AB05,110313,Insulin aspart Sanofi,100,"inj.væske, opl., pen",5 x 3 ml,168.39,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.39,1.0,,,,,,,,,,,,,,,,,,,,,3.0,5.0,IVSC,UML,"['A10AB05', '100', 'UML', 'IVSC']",5.0
"AHOC, The Department of Anesthesiology",B01AB01,748590,Heparin ukonserveret SAD,5.000,injektionsvæske,10 ml x10,11515.4,10.0,,,,,1148.54,1.0,,,,,,,,,1148.54,1.0,1148.54,1.0,,,,,1148.54,1.0,,,,,,,,,,,,,,,,,,,,,1153.54,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2307.08,2.0,,,,,,,,,,,,,,,2307.08,2.0,,,,,1153.54,1.0,,,,,,,,,10.0,10.0,IVSC,IUM,"['B01AB01', '5.000', 'IUM', 'IVSC']",100.0
"AHOC, The Department of Anesthesiology",B02BC01,795153,Curaspon Cube (Dental),0,gelatinesvamp,50 Stk.,86.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,1.0,,,,,0.0,50.0,LO,,"['B02BC01', '0', nan, 'LO']",50.0
"AHOC, The Department of Anesthesiology",B02BC01,852578,Curaspon Standard,0,gelatinesvamp,20 stk.,201.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0,1.0,,,0.0,20.0,LO,,"['B02BC01', '0', nan, 'LO']",20.0
"AHOC, The Department of Anesthesiology",B02BC02,796334,Surgicel,0,imprægneret gaze,10 stk. 5 x 35 cm,4929.13,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292.38,1.0,2424.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212.25,1.0,,,,,,,0.0,10.0,LO,,"['B02BC02', '0', nan, 'LO']",40.0
"AHOC, The Department of Anesthesiology",B02BC02,796342,Surgicel,0,imprægneret gaze,10 stk. 10 x 20 cm,8181.98,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2845.5,2.0,,,,,,,,,,,,,,,,,,,1334.12,1.0,,,,,,,,,,,,,,,1334.12,1.0,,,,,1334.12,1.0,,,,,1334.12,1.0,,,,,,,,,,,,,,,,,,,,,0.0,10.0,LO,,"['B02BC02', '0', nan, 'LO']",60.0
"AHOC, The Department of Anesthesiology",B02BC30,511963,TachoSil,0,vævsklæbermatrix,"2 stk. 4,8 cm x 4,8 cm",5706.9,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5706.9,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,LO,,"['B02BC30', '0', nan, 'LO']",6.0
"AHOC, The Department of Anesthesiology",B02AA02,138600,Pilexam,100,"inj.væske, opløsning",10 x 10 ml,2473.38,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.26,2.0,,,,,570.78,6.0,,,380.52,4.0,,,,,380.52,4.0,,,,,,,380.52,4.0,,,190.26,2.0,,,380.52,4.0,,,10.0,10.0,IV,MGM,"['B02AA02', '100', 'MGM', 'IV']",260.0
"AHOC, The Department of Anesthesiology",B02AA02,163962,Tranexamic acid Stragen,100,"inj.-/inf.vsk.,opl.",5 x 10 ml,3516.9,57.0,246.8,4.0,,,,,493.6,8.0,,,,,246.8,4.0,,,246.8,4.0,246.8,4.0,,,493.6,8.0,,,246.8,4.0,246.8,4.0,246.8,4.0,,,431.9,7.0,246.8,4.0,123.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,5.0,IV,MGM,"['B02AA02', '100', 'MGM', 'IV']",285.0
"AHOC, The Department of Anesthesiology",B02AA02,568872,Tranexamic acid Stragen,100,"inj.-/inf.vsk.,opl.",5 x 10 ml,987.2,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.8,4.0,,,,,,,246.8,4.0,185.1,3.0,308.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,5.0,IV,MGM,"['B02AA02', '100', 'MGM', 'IV']",80.0
"AHOC, The Department of Anesthesiology",B05BA03,165859,Glucos Fresenius Kabi,100,"inf.væske, opløsning",20 x 500 ml (Freeflex ),1293.95,7.0,184.85,1.0,184.85,1.0,,,184.85,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.85,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.85,1.0,,,184.85,1.0,,,184.85,1.0,,,,,,,,,,,500.0,20.0,IV,MGM,"['B05BA03', '100', 'MGM', 'IV']",140.0
"AHOC, The Department of Anesthesiology",B05BA03,745950,Glukose SAD,500,injektionsvæske,50 ml PL x10,1344.48,6.0,,,,,,,,,,,,,,,,,,,,,224.08,1.0,,,,,,,,,,,,,224.08,1.0,,,,,,,,,224.08,1.0,,,,,,,,,,,,,,,,,,,,,,,,,448.16,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.08,1.0,,,50.0,10.0,IV,MGM,"['B05BA03', '500', 'MGM', 'IV']",60.0
"AHOC, The Department of Anesthesiology",B05BA03,748079,Glukose isotonisk SAD,55,injektionsvæske,50 ml PL x10,1027.95,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.59,1.0,822.36,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,10.0,IV,MGM,"['B05BA03', '55', 'MGM', 'IV']",50.0
"AHOC, The Department of Anesthesiology",B05BB01,189,Natriumklorid Baxter,9,"inf.væske, opløsning",30 x 100 ml minibag plus,1766.94,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177.96,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,588.98,1.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,30.0,IV,MGM,"['B05BB01', '9', 'MGM', 'IV']",90.0
"AHOC, The Department of Anesthesiology",B05BB01,42651,Ringer-lactat Fresenius Kabi,0,"inf.væske, opløsning",10 x 1000 ml (Freeflex),20217.6,160.0,,,,,252.72,2.0,505.44,4.0,252.72,2.0,252.72,2.0,252.72,2.0,252.72,2.0,884.52,7.0,,,631.8,5.0,379.08,3.0,,,,,884.52,7.0,505.44,4.0,379.08,3.0,379.08,3.0,505.44,4.0,1010.88,8.0,,,505.44,4.0,884.52,7.0,252.72,2.0,505.44,4.0,379.08,3.0,252.72,2.0,505.44,4.0,,,252.72,2.0,505.44,4.0,505.44,4.0,505.44,4.0,,,505.44,4.0,505.44,4.0,505.44,4.0,252.72,2.0,758.16,6.0,,,884.52,7.0,379.08,3.0,631.8,5.0,379.08,3.0,758.16,6.0,379.08,3.0,505.44,4.0,,,631.8,5.0,,,631.8,5.0,126.36,1.0,1000.0,10.0,IV,,"['B05BB01', '0', nan, 'IV']",1600.0
"AHOC, The Department of Anesthesiology",B05BB01,141388,Natriumklorid Fres.Kabi 9mg/ml,9,"inf.væske, opløsning",20 x 500 ml (Freeflex),2459.75,25.0,,,,,,,,,295.17,3.0,,,,,,,196.78,2.0,,,196.78,2.0,196.78,2.0,,,,,,,,,,,,,196.78,2.0,,,,,,,196.78,2.0,,,,,,,,,196.78,2.0,,,,,,,,,,,,,,,196.78,2.0,,,98.39,1.0,,,,,,,98.39,1.0,196.78,2.0,,,,,,,196.78,2.0,,,,,,,,,196.78,2.0,500.0,20.0,IV,MGM,"['B05BB01', '9', 'MGM', 'IV']",500.0
"AHOC, The Department of Anesthesiology",B05BB01,409894,Calciumgluconat 2care4,100,"inj.væske, opløsning",20 x 10 ml.,879.48,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.28,2.0,376.92,3.0,,,,,,,,,,,,,,,,,251.28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,20.0,IMIV,MGM,"['B05BB01', '100', 'MGM', 'IMIV']",140.0
"AHOC, The Department of Anesthesiology",B05BB01,558643,Natriumklorid isotonisk SAD,9,infusionsvæske,3000 ml x4,462.02,2.0,,,,,462.02,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,4.0,IV,GL,"['B05BB01', '9', 'GL', 'IV']",8.0
"AHOC, The Department of Anesthesiology",B05BB01,720147,Ringer-Laktat,0,infusionsvæske,10 x 250 ml,300.92,2.0,,,,,,,,,300.92,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,10.0,IV,,"['B05BB01', '0', nan, 'IV']",20.0
