Department,ATC5,Order_number,Order_name,Strength,Type_of_Medicine,Package_size,Cost,Number_of_Packages,Cost_w1,Number_of_Packages_w1,Cost_w2,Number_of_Packages_w2,Cost_w3,Number_of_Packages_w3,Cost_w4,Number_of_Packages_w4,Cost_w5,Number_of_Packages_w5,Cost_w6,Number_of_Packages_w6,Cost_w7,Number_of_Packages_w7,Cost_w8,Number_of_Packages_w8,Cost_w9,Number_of_Packages_w9,Cost_w10,Number_of_Packages_w10,Cost_w11,Number_of_Packages_w11,Cost_w12,Number_of_Packages_w12,Cost_w13,Number_of_Packages_w13,Cost_w14,Number_of_Packages_w14,Cost_w15,Number_of_Packages_w15,Cost_w16,Number_of_Packages_w16,Cost_w17,Number_of_Packages_w17,Cost_w18,Number_of_Packages_w18,Cost_w19,Number_of_Packages_w19,Cost_w20,Number_of_Packages_w20,Cost_w21,Number_of_Packages_w21,Cost_w22,Number_of_Packages_w22,Cost_w23,Number_of_Packages_w23,Cost_w24,Number_of_Packages_w24,Cost_w25,Number_of_Packages_w25,Cost_w26,Number_of_Packages_w26,Cost_w27,Number_of_Packages_w27,Cost_w28,Number_of_Packages_w28,Cost_w29,Number_of_Packages_w29,Cost_w30,Number_of_Packages_w30,Cost_w31,Number_of_Packages_w31,Cost_w32,Number_of_Packages_w32,Cost_w33,Number_of_Packages_w33,Cost_w34,Number_of_Packages_w34,Cost_w35,Number_of_Packages_w35,Cost_w36,Number_of_Packages_w36,Cost_w37,Number_of_Packages_w37,Cost_w38,Number_of_Packages_w38,Cost_w39,Number_of_Packages_w39,Cost_w40,Number_of_Packages_w40,Cost_w41,Number_of_Packages_w41,Cost_w42,Number_of_Packages_w42,Cost_w43,Number_of_Packages_w43,Cost_w44,Number_of_Packages_w44,Cost_w45,Number_of_Packages_w45,Cost_w46,Number_of_Packages_w46,Cost_w47,Number_of_Packages_w47,Cost_w48,Number_of_Packages_w48,Cost_w49,Number_of_Packages_w49,Cost_w50,Number_of_Packages_w50,Cost_w51,Number_of_Packages_w51,Cost_w52,Number_of_Packages_w52,Portionsize,Quantity
"AHOC, The Department of Anesthesiology",A01AB03,705640,Klorhexidin SAiD,"0,10%",mundskyllevæske,300 ml,873.0,30.0,,,,,,,,,,,,,,,,,,,145.5,5.0,116.4,4.0,,,,,,,,,,,,,,,,,,,,,145.5,5.0,,,,,,,,,87.3,3.0,,,,,,,,,,,,,,,,,,,,,145.5,5.0,,,,,,,,,87.3,3.0,,,,,,,,,145.5,5.0,,,,,,,,,300.0,1.0
"AHOC, The Department of Anesthesiology",A03AB02,380781,Glycopyrronium brom Martindale,200 mikrogram/ml,"inj.væske, opløsning",10 x 1 ml,1484.59,6.0,,,,,249.59,1.0,247.0,1.0,,,247.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.0,1.0,,,,,,,,,247.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.0,1.0,,,,,,,,,,,,,,,,,1.0,10.0
"AHOC, The Department of Anesthesiology",A03BA01,720286,Atropin,"0,1 mg/ml","inj.væske, opløsning",10 x 1 ml,2547.09,7.0,,,,,,,,,,,,,,,,,,,,,,,1091.61,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.87,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.87,1.0,727.74,2.0,,,,,,,,,,,1.0,10.0
"AHOC, The Department of Anesthesiology",A03BA01,741124,Atropin SAD,1 mg/ml,injektionsvæske,1 ml amp x10,4219.6,44.0,,,191.8,2.0,,,,,,,,,575.4,6.0,287.7,3.0,,,,,,,287.7,3.0,,,,,383.6,4.0,575.4,6.0,,,,,,,,,191.8,2.0,,,,,,,,,,,287.7,3.0,383.6,4.0,,,,,,,,,,,,,,,575.4,6.0,,,,,,,,,,,,,,,,,,,287.7,3.0,,,,,,,,,,,191.8,2.0,1.0,10.0
"AHOC, The Department of Anesthesiology",A04AA01,60523,Ondansetron Fresenius Kabi,2 mg/ml,"inj.væske, opløsning",5 x 2 ml,3492.81,438.0,48.0,6.0,64.0,8.0,120.0,15.0,32.0,4.0,56.0,7.0,96.0,12.0,72.0,9.0,32.0,4.0,63.76,8.0,79.7,10.0,63.76,8.0,215.19,27.0,15.94,2.0,,,,,119.55,15.0,31.88,4.0,79.7,10.0,95.64,12.0,31.88,4.0,79.7,10.0,47.82,6.0,143.46,18.0,87.67,11.0,103.61,13.0,,,71.73,9.0,127.52,16.0,,,71.73,9.0,31.88,4.0,39.85,5.0,63.76,8.0,63.76,8.0,47.82,6.0,63.76,8.0,47.82,6.0,79.7,10.0,47.82,6.0,79.7,10.0,39.85,5.0,159.4,20.0,127.52,16.0,31.88,4.0,159.4,20.0,159.4,20.0,,,39.85,5.0,,,,,159.4,20.0,,,2.0,5.0
"AHOC, The Department of Anesthesiology",A10AB05,110313,Insulin aspart Sanofi,100 E/ml,"inj.væske, opl., pen",5 x 3 ml,168.39,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.39,1.0,,,,,,,,,,,,,,,,,,,,,3.0,5.0
"AHOC, The Department of Anesthesiology",B01AB01,748590,Heparin ukonserveret SAD,5.000 IE/ml,injektionsvæske,10 ml x10,11515.4,10.0,,,,,1148.54,1.0,,,,,,,,,1148.54,1.0,1148.54,1.0,,,,,1148.54,1.0,,,,,,,,,,,,,,,,,,,,,1153.54,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2307.08,2.0,,,,,,,,,,,,,,,2307.08,2.0,,,,,1153.54,1.0,,,,,,,,,10.0,10.0
"AHOC, The Department of Anesthesiology",B02BC01,795153,Curaspon Cube (Dental),_,gelatinesvamp,50 Stk.,86.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,1.0,,,,,0.0,50.0
"AHOC, The Department of Anesthesiology",B02BC01,852578,Curaspon Standard,_,gelatinesvamp,20 stk.,201.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0,1.0,,,0.0,20.0
"AHOC, The Department of Anesthesiology",B02BC02,796334,Surgicel,_,imprægneret gaze,10 stk. 5 x 35 cm,4929.13,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292.38,1.0,2424.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212.25,1.0,,,,,,,0.0,10.0
