;;;;;;;;Total;Total;Total;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021
;;;;;;;;;;;Uge 1;Uge 1;Uge 1;Uge 2;Uge 2;Uge 2;Uge 3;Uge 3;Uge 3;Uge 4;Uge 4;Uge 4;Uge 5;Uge 5;Uge 5;Uge 6;Uge 6;Uge 6;Uge 7;Uge 7;Uge 7;Uge 8;Uge 8;Uge 8;Uge 9;Uge 9;Uge 9;Uge 10;Uge 10;Uge 10;Uge 11;Uge 11;Uge 11;Uge 12;Uge 12;Uge 12;Uge 13;Uge 13;Uge 13;Uge 14;Uge 14;Uge 14;Uge 15;Uge 15;Uge 15;Uge 16;Uge 16;Uge 16;Uge 17;Uge 17;Uge 17;Uge 18;Uge 18;Uge 18;Uge 19;Uge 19;Uge 19;Uge 20;Uge 20;Uge 20;Uge 21;Uge 21;Uge 21;Uge 22;Uge 22;Uge 22;Uge 23;Uge 23;Uge 23;Uge 24;Uge 24;Uge 24;Uge 25;Uge 25;Uge 25;Uge 26;Uge 26;Uge 26;Uge 27;Uge 27;Uge 27;Uge 28;Uge 28;Uge 28;Uge 29;Uge 29;Uge 29;Uge 30;Uge 30;Uge 30;Uge 31;Uge 31;Uge 31;Uge 32;Uge 32;Uge 32;Uge 33;Uge 33;Uge 33;Uge 34;Uge 34;Uge 34;Uge 35;Uge 35;Uge 35;Uge 36;Uge 36;Uge 36;Uge 37;Uge 37;Uge 37;Uge 38;Uge 38;Uge 38;Uge 39;Uge 39;Uge 39;Uge 40;Uge 40;Uge 40;Uge 41;Uge 41;Uge 41;Uge 42;Uge 42;Uge 42;Uge 43;Uge 43;Uge 43;Uge 44;Uge 44;Uge 44;Uge 45;Uge 45;Uge 45;Uge 46;Uge 46;Uge 46;Uge 47;Uge 47;Uge 47;Uge 48;Uge 48;Uge 48;Uge 49;Uge 49;Uge 49;Uge 50;Uge 50;Uge 50;Uge 51;Uge 51;Uge 51;Uge 52;Uge 52;Uge 52
Kunder Afdeling Nr Navn;Kunder Debitor Nr Navn;Varer ATC5;Varer Varenr;Varer Varenavn;Varer Styrke;Varer Dispenseringsform;Varer Pakningsstørrelse;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger;Beløb;DDD;Antal pakninger
Total;Total;Total;Total;Total;Total;Total;Total;57.750.798,29;1.849.107,48;209.578,23;1.288.316,24;30.108,84;4.641,00;1.261.297,49;29.788,57;3.482,00;999.861,73;35.209,10;4.811,00;489.272,50;38.674,65;2.679,84;1.246.781,30;34.046,57;4.693,00;668.325,26;32.058,90;3.634,00;1.303.373,24;30.823,29;3.399,83;474.789,45;29.505,01;3.368,00;1.241.830,02;29.340,87;3.803,00;736.897,30;37.623,22;3.872,00;1.594.977,16;41.353,77;3.750,00;1.738.053,19;73.388,86;7.853,00;364.988,95;20.093,60;1.434,40;915.993,38;20.108,11;1.377,25;1.147.230,31;28.378,34;5.770,00;533.159,42;27.201,12;3.102,53;1.558.018,84;46.054,43;5.053,63;1.117.289,35;41.611,68;4.570,00;530.803,60;34.129,65;2.742,00;1.314.847,94;34.301,28;3.923,25;674.673,31;23.866,92;5.301,16;1.185.595,00;36.428,33;4.017,00;962.521,28;34.226,45;4.114,00;605.067,38;36.294,24;3.385,38;901.426,08;40.225,48;4.654,00;2.286.426,50;41.319,62;4.878,60;670.194,45;44.131,66;4.675,00;888.260,30;30.263,25;3.919,77;548.133,53;21.758,36;2.672,00;2.253.483,67;38.038,80;3.881,00;381.126,17;21.977,88;2.515,00;196.672,99;16.144,02;1.273,00;577.943,08;28.348,89;4.662,30;630.614,73;24.855,30;2.578,00;930.436,75;29.456,08;3.954,00;506.389,99;33.471,83;3.430,00;1.648.640,08;44.768,35;3.566,00;1.167.179,65;35.788,17;4.904,53;464.008,14;34.519,38;3.689,00;2.223.634,97;45.961,29;5.244,00;1.770.865,77;41.836,09;4.305,77;1.086.219,25;36.824,77;3.842,00;1.321.906,18;34.195,87;3.963,00;1.658.057,13;51.879,30;4.828,00;1.068.514,99;33.077,94;4.828,53;1.040.245,79;45.943,84;5.120,00;2.308.222,73;54.098,33;5.111,00;1.753.183,85;36.551,99;4.447,66;1.529.178,15;42.221,07;4.863,77;2.666.917,53;46.101,01;4.887,00;927.872,68;52.325,99;5.633,45;391.079,52;18.407,17;2.474,60
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;B01AB01;742296;Heparin ukonserveret SAD;100 IE/ml;injektionsvæske;10 ml x10;2.350,24;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.175,12;4;4;;;;;;;;;;;;;;;;;;;1.175,12;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;B05BB01;42469;Natriumklorid Fres.Kabi 9mg/ml;9 mg/ml;inf.væske, opløsning;10 x 1000 ml (Freeflex);7.723,98;990;99;;;;;;;;;;234,06;30;3;234,06;30;3;;;;;;;234,06;30;3;;;;;;;234,06;30;3;234,06;30;3;234,06;30;3;234,06;30;3;;;;;;;;;;234,06;30;3;234,06;30;3;234,06;30;3;234,06;30;3;234,06;30;3;234,06;30;3;234,06;30;3;234,06;30;3;;;;;;;;;;234,06;30;3;234,06;30;3;234,06;30;3;234,06;30;3;234,06;30;3;234,06;30;3;;;;;;;234,06;30;3;234,06;30;3;234,06;30;3;234,06;30;3;234,06;30;3;234,06;30;3;234,06;30;3;234,06;30;3;;;;;;;;;;;;;234,06;30;3;234,06;30;3;234,06;30;3;234,06;30;3
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;C01CA24;183660;Jext;300 mikrogram;inj.væske, opl., pen;1 stk.;779,16;1,8;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;519,44;1,2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;259,72;0,6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;C01CA24;567460;Jext;150 mikrogram;inj.væske, opl., pen;1 stk.;1.038,88;1,2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;259,72;0,3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;519,44;0,6;2;;;;;;;;;;259,72;0,3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;C01CA24;744425;Adrenalin SAD;1 mg/ml;injektionsvæske;1 ml amp x10;152;20;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152;20;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;C01DA02;721981;Glycerylnitrat;5 mg/ml;konc.t.inf.væsk.opl.;10 ml x 10;496,62;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;496,62;10;1;;;;;;;;;;;;;;;;;;;;;;;;
